NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1871598,16.08787585,1400.68932025,1432.9643558999999
1,16.1871598,16.090857349999997,1394.9391993499999,1427.2169183499998
2,16.1871598,16.100099999999998,1396.6320950499999,1428.9193548499998
3,16.1871598,16.09980185,1402.0789973999997,1434.3656609
4,16.1871598,16.094136999999996,1395.5435493999998,1427.8251443499996
5,16.1871598,16.081018399999998,1392.6485129,1424.9166911
6,16.1871598,16.0989074,1395.47408045,1427.7601476499997
7,16.1871598,16.0708813,1389.7567560499997,1422.014499

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1489966,16.032718099999997,1344.33897025,1376.5206849499996
1,16.1489966,16.05090525,1348.9301821,1381.1303821
2,16.1489966,16.032718099999997,1342.68841185,1374.87012655
3,16.1489966,16.04673115,1351.7429292,1383.9386569499998
4,16.1489966,16.03957555,1350.7014912499997,1382.8900634
5,16.1489966,16.04434595,1351.4650533999998,1383.6586941
6,16.1489966,16.024071749999997,1342.4132194,1374.5865859
7,16.1489966,16.015723549999997,1333.5522013999998,1365.7172196999998

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.369642299999997,11.5133604,37.77739389999999,62.66039659999999
1,13.369642299999997,11.5133604,37.7779902,62.6609929
2,13.369642299999997,11.5133604,37.77828835,62.6609929
3,13.369642299999997,11.5133604,37.7779902,62.6609929
4,13.369642299999997,11.5133604,37.7779902,62.66069475
5,13.369642299999997,11.5133604,37.77769205,62.66069475
6,13.369642299999997,11.5133604,37.7779902,62.66069475
7,13.369642299999997,11.5133604,37.778586499999996,62.661291049999996

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.331479099999997,-11.458202649999997,18.572956099999942,-6.216725649999695
1,-13.331479099999997,-11.473408300000003,8.231027049999945,-16.574456650000116
2,-13.331479099999997,-11.445978499999999,16.1653948499999,-8.611764600000129
3,-13.331479099999997,-11.4602897,12.558077999999774,-12.233988949999798
4,-13.331479099999997,-11.458798950000002,7.064067950000187,-17.725613800000296
5,-13.331479099999997,-11.476687950000002,3.405767450000255,-21.402697750000065
6,-13.331479099999997,-11.438524749999996,15.282870850000087,-9.487133000000362
7,-13.331479099999997,-11.458202649999997,18.425968149999868,-6.364011749999868


