NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1800042,16.067303499999998,1374.9270732,1407.1743808999997
1,16.1800042,16.0780369,1378.03886475,1410.2966077
2,16.1800042,16.058359,1375.0355997999998,1407.273963
3,16.1800042,16.13617615,1394.5283486499998,1426.844529
4,16.1800042,16.112025999999997,1385.0623842999998,1417.3544144999998
5,16.1800042,16.1173927,1384.7424693499997,1417.0398662499997
6,16.1800042,16.070285,1375.84805855,1408.0980495999997
7,16.1800042,16.12067235,1390.83546275,1423.1358411499998

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.14452435,16.00558645,1324.9153921999996,1357.0652048499999
1,16.14452435,16.062234949999997,1335.330368,1367.53682915
2,16.14452435,16.059551599999995,1336.0262500999997,1368.2300278999999
3,16.14452435,16.05329045,1340.3881846,1372.5859994
4,16.14452435,16.045240399999997,1332.36228475,1364.5517513500001
5,16.14452435,16.07177575,1342.8837001,1375.1000001999998
6,16.14452435,16.0529923,1332.5838102,1364.7810286999998
7,16.14452435,16.05746455,1338.4090649,1370.6110537999998

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.302558549999999,11.427195049999998,45.1542212,69.88397479999999
1,13.302558549999999,11.48265095,46.3140247,71.0992342
2,13.302558549999999,11.52618085,47.473530049999994,72.30197129999999
3,13.302558549999999,11.47012865,45.235318,70.0080052
4,13.302558549999999,11.441804399999999,44.9836794,69.72804235
5,13.302558549999999,11.580742299999999,47.25707315,72.14067215
6,13.302558549999999,11.4263006,45.81521975,70.54407889999999
7,13.302558549999999,11.4614823,46.767212699999995,71.53125354999999


