NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1800042,16.095031449999997,1386.1452651,1418.4200026
1,16.1800042,16.070285,1376.2022607499998,1408.4525499499998
2,16.1800042,16.075949849999997,1382.84563905,1415.1015931
3,16.1800042,16.069390549999998,1376.9163299999998,1409.1657247499998
4,16.1800042,16.0839999,1385.2561817999997,1417.5201859
5,16.1800042,16.067303499999998,1379.41452885,1411.6615384
6,16.1800042,16.08429805,1383.0129012,1415.2769053
7,16.1800042,16.099503699999996,1385.40972905,1417.6892369500001

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.14452435,16.058359,1330.673265,1362.87614835
1,16.14452435,16.015723549999997,1335.3521329499997,1367.5123808499998
2,16.14452435,16.018705049999998,1327.40226135,1359.5651926
3,16.14452435,16.023177299999997,1325.70161375,1357.8690172499998
4,16.14452435,16.0213884,1328.0859192999997,1360.2515338999997
5,16.14452435,16.047327449999997,1336.6780059999999,1368.86955965
6,16.14452435,16.0422589,1330.0784557499996,1362.265239
7,16.14452435,16.035103299999996,1329.8700488999998,1362.04967655

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.302558549999999,11.6439501,47.017956850000004,71.96446549999999
1,13.302558549999999,11.682709599999999,47.05313854999999,72.0384067
2,13.302558549999999,11.657366849999999,46.908833949999995,71.86875934999999
3,13.302558549999999,11.639179699999998,46.9914215,71.93315974999999
4,13.302558549999999,11.630831499999998,47.285397399999994,72.21878745000001
5,13.302558549999999,11.657366849999999,47.16822445,72.12814985
6,13.302558549999999,11.68658555,47.1864116,72.1755557
7,13.302558549999999,11.6904615,47.28152144999999,72.27424334999999

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.2670787,-11.607277650000002,8.454043250000055,-16.420611249999894
1,-13.2670787,-11.628148149999998,-6.2030107499998834,-31.098237599999948
2,-13.2670787,-11.60012205,8.53454375000016,-16.33235885000009
3,-13.2670787,-11.592966449999997,4.223294749999809,-20.636452250000076
4,-13.2670787,-11.568219999999998,9.884865100000042,-14.950135449999806
5,-13.2670787,-11.637390799999999,-4.431701599999968,-29.3361711
6,-13.2670787,-11.6445464,5.74803385000034,-19.163889400000116
7,-13.2670787,-11.6260611,8.258158700000102,-16.634682949999828


