NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1800042,16.0869814,1380.6870330499996,1412.9540186499999
1,16.1800042,16.09741665,1385.8399594999998,1418.11738035
2,16.1800042,16.052396,1370.4011561999998,1402.6335563999999
3,16.1800042,16.109640799999998,1391.322938,1423.6125829999999
4,16.1800042,16.1376669,1391.6461325999999,1423.9635055499998
5,16.1800042,16.0780369,1376.5054793,1408.76322225
6,16.1800042,16.0935407,1384.3623280999998,1416.635873
7,16.1800042,16.062234949999997,1373.83554605,1406.0777851999999

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.14452435,16.044047799999998,1331.1210863,1363.30965845
1,16.14452435,16.051501549999998,1330.42967645,1362.6254042
2,16.14452435,16.07058315,1337.8664318999997,1370.0815393999999
3,16.14452435,16.06760165,1333.2358642499998,1365.4476921
4,16.14452435,16.094733299999998,1345.40813615,1377.6473938
5,16.14452435,16.054483049999998,1327.5722068499997,1359.7709161
6,16.14452435,16.022581,1330.6568667499998,1362.8239721
7,16.14452435,16.1048704,1348.9576118999998,1381.20700665

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.302558549999999,11.643651949999997,47.21115805,72.15736855
1,13.302558549999999,11.5795497,46.75797005,71.6400783
2,13.302558549999999,11.6302352,47.23799155,72.17108345
3,13.302558549999999,11.38843555,44.03466795,68.72536389999999
4,13.302558549999999,11.480862049999997,46.133047649999995,70.91646825
5,13.302558549999999,11.637092649999998,46.79344989999999,71.7331011
6,13.302558549999999,11.67287065,47.07877944999999,72.05420864999999
7,13.302558549999999,11.514254849999999,46.8524836,71.66899885


