NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.1800042,16.0869814,1380.6870330499996,1412.9540186499999
1,16.1800042,16.09741665,1385.8399594999998,1418.11738035
2,16.1800042,16.052396,1370.4011561999998,1402.6335563999999
3,16.1800042,16.109640799999998,1391.322938,1423.6125829999999
4,16.1800042,16.1376669,1391.6461325999999,1423.9635055499998
5,16.1800042,16.0780369,1376.5054793,1408.76322225
6,16.1800042,16.0935407,1384.3623280999998,1416.635873
7,16.1800042,16.062234949999997,1373.83554605,1406.0777851999999

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.14452435,16.04047,1332.4147591499998,1364.5997535000001
1,16.14452435,16.031227349999998,1325.2698925499997,1357.4456442500002
2,16.14452435,16.026158799999997,1322.3414632499998,1354.5121463999997
3,16.14452435,16.02526435,1320.8211963999997,1352.9909850999998
4,16.14452435,16.060147899999997,1331.6726638,1363.8770379
5,16.14452435,16.024966199999998,1329.7263406,1361.89583115
6,16.14452435,16.0798258,1334.3059245999998,1366.5302747499998
7,16.14452435,16.06819795,1337.9695917999998,1370.1823140999998

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.302558549999999,11.616818449999998,47.475617099999994,72.39499409999999
1,13.302558549999999,11.473706449999998,45.38946154999999,70.16572654999999
2,13.302558549999999,11.643651949999997,47.27943439999999,72.2256449
3,13.302558549999999,11.64245935,47.48247455,72.42749244999999
4,13.302558549999999,11.4680416,45.270797849999994,70.04139799999999
5,13.302558549999999,11.64245935,47.4821764,72.42719429999998
6,13.302558549999999,11.63053335,47.70906855,72.64216044999999
7,13.302558549999999,11.625166649999999,47.1297631,72.0574883

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.2670787,-11.570307049999998,0.7966567999998517,-24.040728950000272
1,-13.2670787,-11.407517149999997,15.18060540000019,-9.493990450000126
2,-13.2670787,-11.617414749999993,0.7802585500000063,-24.10423489999981
3,-13.2670787,-11.558082900000002,23.019267050000288,-1.8058945499998913
4,-13.2670787,-11.390522599999997,14.70267094999987,-9.954930350000183
5,-13.2670787,-11.589388649999997,-0.7030377000000243,-25.559803200000133
6,-13.2670787,-11.61681845,2.34733494999999,-22.536562199999807
7,-13.2670787,-11.63112965,-11.263808849999812,-36.16201719999988


