NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.3308681,16.313873549999997,1615.99059085,1648.6353325
1,16.3308681,16.30671795,1616.1089564000001,1648.7465424499999
2,16.3308681,16.307612399999996,1612.2100488499998,1644.8488275
3,16.3308681,16.30254385,1611.0332508,1643.6669609
4,16.3308681,16.299860499999998,1614.4059235999998,1647.03695035
5,16.3308681,16.31208465,1615.59822545,1648.2411782
6,16.3308681,16.30671795,1618.4694099499998,1651.10729415
7,16.3308681,16.3004568,1614.3632881499998,1646.9946130499998

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.304034599999998,16.3302718,1588.1848237,1620.8191301
1,16.304034599999998,16.321029149999998,1586.6717124499999,1619.29707435
2,16.304034599999998,16.338918149999998,1590.0655538999997,1622.7088047999998
3,16.304034599999998,16.341005199999998,1593.24174585,1625.8867856499999
4,16.304034599999998,16.3427941,1594.0714973,1626.718326
5,16.304034599999998,16.36396275,1587.79156385,1620.4595611999998
6,16.304034599999998,16.340110749999997,1594.237865,1626.88201035
7,16.304034599999998,16.333551449999998,1586.3729661499997,1619.0105522

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.210728349999998,11.037513,36.36326844999999,60.61150979999999
1,13.210728349999998,11.0893911,36.89039765,61.19081525
2,13.210728349999998,10.980864499999997,35.5967248,59.788317649999996
3,13.210728349999998,10.9754978,35.4398979,59.626124049999994
4,13.210728349999998,10.995771999999999,35.855220849999995,60.06201935
5,13.210728349999998,10.956416199999998,34.75027695,58.917421499999996
6,13.210728349999998,10.8258265,35.705251399999995,59.741806249999996
7,13.210728349999998,11.026481449999997,36.36982775,60.607037549999994


