NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.3308681,16.30433275,1619.6769174499998,1652.31241645
1,16.3308681,16.315960599999997,1623.4696835999998,1656.1165122999998
2,16.3308681,16.304034599999998,1622.5680779999998,1655.2032788499998
3,16.3308681,16.3129791,1625.28750415,1657.9313513499999
4,16.3308681,16.30910315,1620.23922835,1652.8791995999998
5,16.3308681,16.308506849999997,1619.0168133499997,1651.6564864499999
6,16.3308681,16.298667899999998,1619.1962996499997,1651.8261338
7,16.3308681,16.3153643,1621.2401178999999,1653.8863503

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.304034599999998,16.343092249999998,1583.2555097499999,1615.9026365999998
1,16.304034599999998,16.395268499999997,1610.0204352499998,1642.7197383499997
2,16.304034599999998,16.407790799999997,1607.0929004,1639.8047258
3,16.304034599999998,16.3487571,1593.81121235,1626.4640040499999
4,16.304034599999998,16.35859605,1587.96031675,1620.6229473999997
5,16.304034599999998,16.33832185,1593.26738675,1625.9097431999999
6,16.304034599999998,16.32997365,1583.8199077000002,1616.45391595
7,16.304034599999998,16.3606831,1593.0011387999998,1625.6658565

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.210728349999998,11.079253999999999,36.3140737,60.60375789999999
1,13.210728349999998,11.078359549999998,36.442576349999996,60.731664249999994
2,13.210728349999998,11.0876022,36.92319414999999,61.221524699999996
3,13.210728349999998,11.037513,36.334646049999996,60.58288739999999
4,13.210728349999998,11.09207445,36.42289844999999,60.72599939999999
5,13.210728349999998,11.0893911,36.93452385,61.234643299999995
6,13.210728349999998,11.09386335,36.5078712,60.8124629
7,13.210728349999998,11.091776299999998,36.48789515,60.79039979999999


