NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.3308681,16.303140149999997,1624.66615955,1657.3004659499998
1,16.3308681,16.31625875,1623.1661668999998,1655.81329375
2,16.3308681,16.302842,1614.78427595,1647.4182841999998
3,16.3308681,16.3034383,1614.8531485999997,1647.487455
4,16.3308681,16.3129791,1619.7711328499997,1652.4152781999999
5,16.3308681,16.313873549999997,1617.12356085,1649.7683025
6,16.3308681,16.31864395,1622.9425544,1655.5920664499997
7,16.3308681,16.3004568,1613.2669905999999,1645.89861365

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.304034599999998,16.29240675,1592.4966689999999,1625.0934085
1,16.304034599999998,16.29956235,1582.5095384499998,1615.1131353999997
2,16.304034599999998,16.28644375,1577.2770059499999,1609.8674843
3,16.304034599999998,16.28763635,1577.3417045,1609.9333754499999
4,16.304034599999998,16.3070161,1586.6803588,1619.2914094999999
5,16.304034599999998,16.30791055,1587.6553092999998,1620.2672544499999
6,16.304034599999998,16.29419565,1583.7149588999998,1616.3131891499997
7,16.304034599999998,16.300754949999998,1586.6547179,1619.2598056000002

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.210728349999998,11.02588515,35.56780425,59.80441775
1,13.210728349999998,11.08849665,37.01621695,61.31544194999999
2,13.210728349999998,11.100124499999998,37.07584694999999,61.386997949999994
3,13.210728349999998,11.09118,36.50280265,60.804711
4,13.210728349999998,11.105789349999998,36.62385155,60.94066739999999
5,13.210728349999998,11.09118,36.5042934,60.80620174999999
6,13.210728349999998,11.027077749999998,35.4464572,59.68456145
7,13.210728349999998,11.09028555,36.563625249999994,60.864639149999995

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.183894849999996,-11.015151750000005,-3.3983136999999104,-27.597360300000133
1,-13.183894849999996,-11.071800249999999,3.6404114999999706,-20.615283599999728
2,-13.183894849999996,-11.08372625,0.4314230500000704,-23.836198050000093
3,-13.183894849999996,-11.07537805,1.0086414499996081,-23.2506314499999
4,-13.183894849999996,-11.099826349999997,-3.5330775000002888,-27.816798699999985
5,-13.183894849999996,-11.085217000000002,-7.03604184999967,-31.305153699999984
6,-13.183894849999996,-11.002629449999999,3.7811383000002365,-20.40568415000002
7,-13.183894849999996,-11.0905837,-9.951352550000045,-34.22583110000014


