NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.3773795,16.387516599999998,1704.0345839999998,1736.7994800999998
1,16.3773795,16.3797647,1705.31990865,1738.07705285
2,16.3773795,16.3857277,1701.7382327,1734.5013399
3,16.3773795,16.3881129,1712.3022835,1745.0674777499999
4,16.3773795,16.379466549999997,1707.51787045,1740.2744183499997
5,16.3773795,16.3976537,1709.50593465,1742.2809678499998
6,16.3773795,16.386920299999996,1701.0170078499998,1733.78130765
7,16.3773795,16.3904981,1704.7951646499998,1737.5630422499996

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.347564499999997,16.46771895,1679.98312165,1712.7984050999999
1,16.347564499999997,16.4799431,1688.5480767,1721.3755842999997
2,16.347564499999997,16.433133549999997,1679.32480645,1712.10520635
3,16.347564499999997,16.417033449999998,1676.3939919499999,1709.1582917499998
4,16.347564499999997,16.420313099999998,1679.96523265,1712.73311025
5,16.347564499999997,16.4191205,1676.1074697999998,1708.8738566499999
6,16.347564499999997,16.4531096,1691.84710645,1724.64778055
7,16.347564499999997,16.43372985,1679.9130564,1712.6943507499998

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.34847365,11.26798295,42.50008989999999,67.11624834999999
1,13.34847365,11.279610799999999,42.55047724999999,67.1785617
2,13.34847365,11.264703299999997,42.56747179999999,67.18035060000001
3,13.34847365,11.280803399999998,42.67719099999999,67.30646804999999
4,13.34847365,11.26201995,42.416906049999994,67.02739964999999
5,13.34847365,11.102509699999999,40.52812579999999,64.97910915
6,13.34847365,11.325525899999999,43.4201808,68.0938822
7,13.34847365,11.2450254,42.74308214999999,67.33628304999999


