NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.3773795,16.379466549999997,1708.31214205,1741.0689880999996
1,16.3773795,16.3767832,1701.2006682499996,1733.9545328
2,16.3773795,16.38483325,1705.6007659499999,1738.3629786999998
3,16.3773795,16.378572099999996,1706.03964275,1738.7952962
4,16.3773795,16.37171465,1699.3512437999998,1732.1000397999999
5,16.3773795,16.374994299999997,1699.4066996999998,1732.1590734999997
6,16.3773795,16.37887025,1702.8270765,1735.58332625
7,16.3773795,16.380361,1701.7716255,1734.52906785

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.347564499999997,16.36694425,1669.0189535499999,1701.7331641499998
1,16.347564499999997,16.3690313,1662.2500541,1694.9663517499996
2,16.347564499999997,16.3696276,1668.6617698499997,1701.3786638
3,16.347564499999997,16.3606831,1663.6793851999998,1696.3876328000001
4,16.347564499999997,16.361279399999997,1659.3907955999998,1692.0996394999997
5,16.347564499999997,16.3511423,1657.28019175,1689.9788985499997
6,16.347564499999997,16.3577016,1658.4525175499998,1691.1577836499998
7,16.347564499999997,16.36396275,1657.18716895,1689.8986962

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.34847365,11.202389949999999,42.24815315,66.79901674999999
1,13.34847365,11.2020918,42.245171649999996,66.7957371
2,13.34847365,11.202389949999999,42.245171649999996,66.7957371
3,13.34847365,11.20894925,42.2132696,66.77039435
4,13.34847365,11.2020918,42.24457534999999,66.7951408
5,13.34847365,11.202389949999999,42.24606609999999,66.79692969999999
6,13.34847365,11.2020918,42.243382749999995,66.7939482
7,13.34847365,11.209247399999999,42.2114807,66.76890359999999

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.318658649999998,-11.189867650000002,-2.9549646499999582,-27.463192800000144
1,-13.318658649999998,-11.194339900000001,-3.2945575000003586,-27.807556049999675
2,-13.318658649999998,-11.1871843,-5.306175549999828,-29.811422200000152
3,-13.318658649999998,-11.191060250000003,0.14698795000014542,-24.362730950000184
4,-13.318658649999998,-11.191656549999996,-2.2841271500000175,-26.79474049999986
5,-13.318658649999998,-11.17853795,-0.11955815000031578,-24.616754749999956
6,-13.318658649999998,-11.18092315,2.1311762000001693,-22.368405599999804
7,-13.318658649999998,-11.192849149999997,2.372975850000138,-22.138531949999845


