NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.3773795,16.38185175,1703.8240901,1736.58332135
1,16.3773795,16.38602585,1707.6690325,1740.4321396999999
2,16.3773795,16.39825,1716.1698852999998,1748.9455148
3,16.3773795,16.3809573,1706.5086327,1739.26667135
4,16.3773795,16.38721845,1698.4508307999997,1731.2154287499998
5,16.3773795,16.38602585,1707.0274137,1739.79081905
6,16.3773795,16.395268499999997,1708.77665975,1741.5490096
7,16.3773795,16.3899018,1705.00059,1737.7681694499997

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.347564499999997,16.469806000000002,1685.2481525,1718.0652248499998
1,16.347564499999997,16.4900802,1682.17571675,1715.01336145
2,16.347564499999997,16.44923365,1673.4065289499997,1706.2033270999998
3,16.347564499999997,16.4334317,1668.8856805,1701.6666766999997
4,16.347564499999997,16.430152049999997,1679.9297528,1712.7074693499997
5,16.347564499999997,16.4614578,1673.92709885,1706.7358229999998
6,16.347564499999997,16.50647845,1685.8456451,1718.6996880499998
7,16.347564499999997,16.51542295,1689.9571336,1722.8198228999997

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.34847365,11.179730549999999,42.59281454999999,67.12101874999999
1,13.34847365,11.210141849999998,42.1482729,66.70659024999999
2,13.34847365,11.39380225,43.48964975,68.23162749999999
3,13.34847365,11.234590149999999,42.61905174999999,67.20181739999998
4,13.34847365,11.26023105,42.17242305,66.78112775
5,13.34847365,11.399168949999998,43.3617434,68.109386
6,13.34847365,11.419144999999999,43.606524549999996,68.37414319999999
7,13.34847365,11.404237499999999,43.187921949999996,67.94063309999999


