NMODE entropy results
Complex Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.3773795,16.3809573,1703.29129605,1736.0496328499996
1,16.3773795,16.38721845,1715.1326214499998,1747.8972193999998
2,16.3773795,16.38721845,1712.8341830999998,1745.5987810499998
3,16.3773795,16.38900735,1704.67590465,1737.4422914999998
4,16.3773795,16.389603649999998,1713.3013841499999,1746.06806915
5,16.3773795,16.39019995,1712.0250039999996,1744.7922852999998
6,16.3773795,16.395566649999996,1712.0533282499998,1744.8262744
7,16.3773795,16.41584085,1721.75751445,1754.5507347999999

Receptor Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,16.347564499999997,16.370522049999998,1668.1543185499997,1700.8724051
1,16.347564499999997,16.3761869,1669.88418485,1702.6079362499997
2,16.347564499999997,16.3618757,1659.6173895999998,1692.3268297999998
3,16.347564499999997,16.366646099999997,1665.91223055,1698.626143
4,16.347564499999997,16.366347949999998,1666.3639277999996,1699.0778402499996
5,16.347564499999997,16.3606831,1666.0711444999997,1698.7790939499998
6,16.347564499999997,16.37529245,1668.9912255999998,1701.7140825499998
7,16.347564499999997,16.37827395,1670.1516254,1702.8771656999998

Ligand Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,13.34847365,11.374720649999999,43.89304669999999,68.61624099999999
1,13.34847365,11.3678632,43.839081549999996,68.5554184
2,13.34847365,11.36756505,43.8530946,68.56883515
3,13.34847365,11.374720649999999,43.885891099999995,68.6090854
4,13.34847365,11.36756505,43.85697055,68.57300925
5,13.34847365,11.36875765,43.9013949,68.61832805
6,13.34847365,11.366670599999999,43.943135899999994,68.65828015
7,13.34847365,11.3750188,43.811651749999996,68.53514419999999

DELTA Energy Terms
Frame #,Translational,Rotational,Vibrational,Total
0,-13.318658649999998,-11.364285399999998,-8.756069199999708,-33.439013250000286
1,-13.318658649999998,-11.356831650000002,1.4093550499996539,-23.26613524999992
2,-13.318658649999998,-11.3422223,9.363698899999996,-15.296883899999969
3,-13.318658649999998,-11.352359399999996,-5.122217000000106,-29.79293690000017
4,-13.318658649999998,-11.34430935,3.0804858000002753,-21.582780349999624
5,-13.318658649999998,-11.339240799999999,2.052464599999908,-22.60513670000006
6,-13.318658649999998,-11.346396400000003,-0.8810332499999518,-25.546088299999724
7,-13.318658649999998,-11.337451900000001,7.794237299999864,-16.861575099999868


